"",startCity,lastCity,Company,AirlineCode,StartDrome,ArriveDrome,StartTime,ArriveTime,Mode,AirlineStop,Week
"",BJS,CGO,中国南方航空(集团)公司,CZ3180,首都国际机场,新郑机场,07:35,09:05,738,0,123456日
"",BJS,CGO,中国国际航空公司,CA1331,首都国际机场,新郑机场,07:35,08:55,738,0,123456日
"",BJS,CGO,中国南方航空(集团)公司,CZ3116,首都国际机场,新郑机场,10:25,11:50,738,0,123456日
"",BJS,CGO,中国国际航空公司,CA1325,首都国际机场,新郑机场,12:10,13:30,738,0,123456日
"",BJS,CGO,中国国际航空公司,CA1481,首都国际机场,新郑机场,14:35,16:00,738,0,123456日
"",BJS,CGO,中国南方航空(集团)公司,CZ3172,首都国际机场,新郑机场,15:10,16:20,738,0,123456日
"",BJS,CGO,中国南方航空(集团)公司,CZ3178,首都国际机场,新郑机场,17:20,18:30,738,0,123456日
"",BJS,CGO,中国国际航空公司,CA1497,首都国际机场,新郑机场,20:10,21:25,733,0,123456日
"",BJS,CGO,中国南方航空(集团)公司,CZ3176,首都国际机场,新郑机场,21:40,22:55,733,0,12456
"",BJS,CGO,中国南方航空(集团)公司,CZ3174,首都国际机场,新郑机场,23:00,00:10,733,0,123456日
"",BJS,CGQ,中国国际航空公司,CA1609,首都国际机场,长春龙嘉国际机场,07:30,09:15,738,0,123456日
"",BJS,CGQ,中国南方航空(集团)公司,CZ6180,首都国际机场,长春龙嘉国际机场,07:45,09:40,319,0,123456日
"",BJS,CGQ,中国国际航空公司,CA1649,首都国际机场,长春龙嘉国际机场,09:15,11:05,JET,0,123456日
"",BJS,CGQ,中国南方航空(集团)公司,CZ6144,首都国际机场,长春龙嘉国际机场,10:40,12:25,320,0,123456日
"",BJS,CGQ,中国南方航空(集团)公司,CZ6146,首都国际机场,长春龙嘉国际机场,11:25,13:00,321,0,123456日
"",BJS,CGQ,中国国际航空公司,CA1663,首都国际机场,长春龙嘉国际机场,11:55,13:45,738,0,1236
"",BJS,CGQ,中国国际航空公司,CA1629,首都国际机场,长春龙嘉国际机场,15:35,17:10,JET,0,13456日
"",BJS,CGQ,中国南方航空(集团)公司,CZ6150,首都国际机场,长春龙嘉国际机场,19:00,20:35,321,0,123456日
"",BJS,CGQ,中国国际航空公司,CA1647,首都国际机场,长春龙嘉国际机场,19:05,20:40,JET,0,123456日
"",BJS,CGQ,中国国际航空公司,CA1661,首都国际机场,长春龙嘉国际机场,20:25,22:05,JET,0,123456日
"",BJS,CGQ,中国南方航空(集团)公司,CZ6142,首都国际机场,长春龙嘉国际机场,21:00,22:30,320,0,123456日
"",BJS,CIF,中国国际航空公司,CA1281,首都国际机场,赤峰机场,14:10,15:10,733,0,123456日
"",BJS,CIH,中国南方航空(集团)公司,CZ6699,首都国际机场,长治机场,07:45,08:50,73G,0,123456日
"",BJS,CKG,中国国际航空公司,CA1419,首都国际机场,江北国际机场,07:30,10:00,738,0,123456日
"",BJS,CKG,中国南方航空(集团)公司,CZ3183,首都国际机场,江北国际机场,08:10,10:50,321,0,123456日
"",BJS,CKG,中国国际航空公司,CA1429,首都国际机场,江北国际机场,09:30,12:00,738,0,123456日
"",BJS,CKG,四川航空股份有限公司,3U8830,首都国际机场,江北国际机场,10:45,13:20,320,0,123456日
"",BJS,CKG,中国国际航空公司,CA4130,首都国际机场,江北国际机场,11:30,14:00,73G,0,123456日
"",BJS,CKG,中国国际航空公司,CA4138,首都国际机场,江北国际机场,12:30,15:00,738,0,123456日
"",BJS,CKG,中国国际航空公司,CA1439,首都国际机场,江北国际机场,13:30,16:00,321,0,123456日
"",BJS,CKG,中国国际航空公司,CA1411,首都国际机场,江北国际机场,14:30,17:00,JET,0,123456日
"",BJS,CKG,中国国际航空公司,CA1409,首都国际机场,江北国际机场,15:30,18:00,JET,0,123456日
"",BJS,CKG,四川航空股份有限公司,3U8832,首都国际机场,江北国际机场,16:25,18:55,320,0,123456日
"",BJS,CKG,上海航空公司,FM2285,南苑机场,江北国际机场,16:30,18:55,738,0,123456日
"",BJS,CKG,中国南方航空(集团)公司,CZ8106,首都国际机场,江北国际机场,17:20,19:40,319,0,123456日
"",BJS,CKG,中国国际航空公司,CA4142,首都国际机场,江北国际机场,17:30,20:00,73G,0,123456日
"",BJS,CKG,中国国际航空公司,CA4140,首都国际机场,江北国际机场,18:30,21:00,738,0,123456日
"",BJS,CKG,中国国际航空公司,CA4136,首都国际机场,江北国际机场,19:30,22:00,738,0,123456日
"",BJS,CKG,四川航空股份有限公司,3U8834,首都国际机场,江北国际机场,21:35,00:15,320,0,123456日
"",BJS,CSX,中国南方航空(集团)公司,CZ3754,首都国际机场,黄花机场,07:50,10:05,320,0,123456日
